,back,down,menu,off,on,open,play,power,stop,up,volume
precision_for_threshold=0.5,0.986,0.879,0.917,0.884,0.865,0.739,0.918,0.956,0.974,0.986,0.899
precision_for_threshold=0.6,0.986,0.879,0.905,0.872,0.843,0.71,0.918,0.944,0.974,0.986,0.899
precision_for_threshold=0.7,0.986,0.879,0.905,0.872,0.843,0.71,0.918,0.944,0.961,0.986,0.861
precision_for_threshold=0.8,0.986,0.868,0.905,0.849,0.831,0.696,0.906,0.933,0.961,0.972,0.848
